Unnamed: 0,"The 8th Annual Conference of 
East Asian Society for the Scientific Study of Religion (EASSSR)",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,DAY 1,,,,
,2026-07-01 00:00:00,,,,
,Date,Time,Room,Programme,sort
,2026-07-01 00:00:00,09:30-09:35,,"Opening Ceremony

David A. Palmer
President, EASSSR
Venerable Ru Chang
Director, Fo Guang Shan Buddha Museum",1
,2026-07-01 00:00:00,09:35-10:35,,"Presidential Address

David A. Palmer 
President, EASSSR",2
,2026-07-01 00:00:00,10:35-10:45,,BREAK,3
,2026-07-01 00:00:00,10:45-12:00,,"Keynote Speech
Architects of Buddhist Leisure: Monuments, Museums, and Amusement Parks 
in the Practice of Modern Buddhism

McDaniel, Justin
Department of Religious Studies, University of Pennsylvania",4
,2026-07-01 00:00:00,12:00-13:30,,LUNCH,5
,2026-07-01 00:00:00,13:30-15:00,Room A,Digitalized Environmental and Peace Movements of SGI,6
,2026-07-01 00:00:00,13:30-15:00,Room A,"82*The Future We Make: Climate Change Governance for the Common Good of 
Humankind through Makiguchi Tsunesaburo's Concept of Humanitarian Competition

Jeong, Jiyun Sookmyung Women's University",7
,2026-07-01 00:00:00,13:30-15:00,Room A,"54*Weaving Faith into Citizenship: Digital Resources and Face-to-Face Community 
in SGI-Korea’s Peace Practice

Lee, Suhyun IRCC, Kyung Hee University",8
,2026-07-01 00:00:00,13:30-15:00,Room A,"87*Religion as a Buffer against Social Atomization: Soka Gakkai and the Ethics of 
Rebuilding Social Relations

Yeo, Youngyun Korea University",9
,2026-07-01 00:00:00,13:30-15:00,Room A,"73*Living the ""Buddhist"" Dharma and the Question of the Animal 
in the Age of the Anthropocene

Fisker-Nielsen, Anne Mette Soka University",10
,2026-07-01 00:00:00,13:30-15:00,Room B,Religion and Arts,11
"14
1
12 11",2026-07-01 00:00:00,13:30-15:00,Room B,"99*A Study on the Symbolic Representation and Doctrinal Innovation of the Wood-carved 
Hubaul Taenghwa at Hanmaum Seonwon

Bae, Jiyoung Dongguk University WISE",12
,2026-07-01 00:00:00,13:30-15:00,Room B,"25*Between Temple and Museum: Religious Publicness and Sacred-Secular Compatibility 
in the Fo Guang Shan Buddha Museum

Chen, Teng-Hsiang Fo Guang Shan Institute of Humanistic Buddhism",13
,2026-07-01 00:00:00,13:30-15:00,Room B,"94*Song Singing, Love, and Virtue: State Led Confucian Moral and Affective Formation 
in Chinese Music Education

Ho, Wai Chung Hong Kong Baptist University",14
,2026-07-01 00:00:00,13:30-15:00,Room B,"17*The Monastic Influencers: Art, Digital Space, and the Tiantai Diaspora

Cho, Yasmin The University Of Chicago",15
,2026-07-01 00:00:00,13:30-15:00,Room C,Religion and Social Welfare,16
,2026-07-01 00:00:00,13:30-15:00,Room C,"65*At the Intersection of Religious Salvation and Public Welfare Foster Care and Children's 
Freedom of Religion: The Case of Tenrikyo

Aoki, Shigeru Institute Of Science Tokyo",17
,2026-07-01 00:00:00,13:30-15:00,Room C,"108*Religion and Welfare: Why There is No Confucian Welfare State?

Laliberte, Andre University Of Ottawa",18
,2026-07-01 00:00:00,13:30-15:00,Room C,"67*Grief Care and Activities of Religious Practitioners

Miyajima, Shunichi Hokkaido University",19
,2026-07-01 00:00:00,13:30-15:00,Room C,"75*Characteristics of Forest Protection Activities by Religions in Contemporary Japan

Takahashi, Norihito Toyo University",20
,2026-07-01 00:00:00,13:30-15:00,Room D,Religious Resilience and Innovation in the Digital Age I,21
,2026-07-01 00:00:00,13:30-15:00,Room D,"37*A Study of Master Hsing Yun's Humanistic Buddhism in the Digital Age : A Case Study 
of the ""Buddhist Maritime Silk Road - New Media Art Exhibition"" at the Buddha Museum

Shi, Miaolin Fo Guang Shan Buddha Memorial Center",22
,2026-07-01 00:00:00,13:30-15:00,Room D,"38*Mapping Buddhist Knowledge: The Fo Guang Dictionary of Buddhism as a Dataset 
for the Scientific Study of Religion

Shih, Miao Guang Fo Guang Shan Institute Of Humanistic Buddhism",23
,2026-07-01 00:00:00,13:30-15:00,Room D,"18*From Balance to Resolution: Zhong (中) and Haewon-Sangsaeng in 
Digital-Networked Society

Ha, Jeeyoung Daejin University",24
,2026-07-01 00:00:00,13:30-15:00,Room D,"100*Organizational Design and East Asian Religions in the Era of AI

Irons, Edward Hong Kong Institute for Culture, Commerce And Religion",25
,2026-07-01 00:00:00,15:00-15:20,,BREAK,26
,2026-07-01 00:00:00,15:20-16:30,Room A,New Religion in the Modern World,27
,2026-07-01 00:00:00,15:20-16:30,Room A,"22*(Re)Making Miracles: Agency and the Reconfiguration of Religious Experience 
within and beyond a Korean Christian New Religion

Bak, Jongseok Korea University",28
,2026-07-01 00:00:00,15:20-16:30,Room A,"9*Becoming a Modern Buddhist Subject in Contemporary China

Rogers, Megan Duke Kunshan University
Gu, Yixin Duke Kunshan University",29
,2026-07-01 00:00:00,15:20-16:30,Room A,"107*The Face of Charismatic Leadership of Pentecostal Megachurch in Singapore

Tejedo, Joel Asia Pacific Theological Seminary
Tejedo, Carolyn Soliven",30
,2026-07-01 00:00:00,15:20-16:30,Room B,"Migration, Politics and Religion I",31
,2026-07-01 00:00:00,15:20-16:30,Room B,"117*Migration and Translocality in Rural Communities in Japan (1): 
A Case study of N Seaside Village in the Amami Islands

Tajima, Tadaastu Reitaku University",32
,2026-07-01 00:00:00,15:20-16:30,Room B,"52*Migration and Translocality in Rural Communities in Japan (2): 
A Case Study of S Mountain Village in Nagano-Prefecture

Fuyutsuki, Ritsu Reitaku University",33
