Day,Date,Time,Room,Programme,sort,Programme.1,Unnamed: 7,Unnamed: 8,Programme.2,Unnamed: 10,Unnamed: 11,Programme.3,Unnamed: 13,Programme.4
DAY 1,2026-07-01,09:30-09:35,,"Opening Ceremony

David A. Palmer President, EASSSR
Venerable Ru Chang Director, Fo Guang Shan Buddha Museum",1,Opening Ceremony,,,Opening Ceremony,,,,,
DAY 1,2026-07-01,09:35-10:35,,"Presidential Address

David A. Palmer President, EASSSR",2,Presidential Address,,,Presidential Address,,,,,
DAY 1,2026-07-01,10:35-10:45,,BREAK,3,BREAK,,,BREAK,,,,,
DAY 1,2026-07-01,10:45-12:00,,"Keynote Speech
Architects of Buddhist Leisure: Monuments, Museums, and Amusement Parks 
in the Practice of Modern Buddhism

McDaniel, Justin Department of Religious Studies, University of Pennsylvania",4,Keynote Speech,,,Keynote Speech,,,,,
DAY 1,2026-07-01,12:00-13:30,,LUNCH,5,LUNCH,,,LUNCH,,,,,
DAY 1,2026-07-01,13:30-15:00,Room A,Digitalized Environmental and Peace Movements of SGI,6,Digitalized Environmental and Peace Movements of SGI,,,Digitalized Environmental and Peace Movements of SGI,,,,,
DAY 1,2026-07-01,13:30-15:00,Room A,"82*The Future We Make: Climate Change Governance for the Common Good of 
Humankind through Makiguchi Tsunesaburo's Concept of Humanitarian Competition

Jeong, Jiyun Sookmyung Women's University",7,82,The Future We Make,The Future We Make: Climate Change Governance for the Common Good of Humankind through Makiguchi Tsunesaburo's Concept of Humanitarian Competition,82*The Future We Make,"82*The Future We Make: Climate Change Governance for the Common Good of Humankind through Makiguchi Tsunesaburo's Concept of Humanitarian Competition
",,"82*The Future We Make: Climate Change Governance for the Common Good of Humankind through Makiguchi Tsunesaburo's Concept of Humanitarian Competition
: Climate Change Governance for the Common Good of 
Humankind through Makiguchi Tsunesaburo's Concept of Humanitarian Competition

Jeong, Jiyun Sookmyung Women's University",,"82*The Future We Make: Climate Change Governance for the Common Good of 
Humankind through Makiguchi Tsunesaburo's Concept of Humanitarian Competition
Jeong, Jiyun Sookmyung Women's University"
DAY 1,2026-07-01,13:30-15:00,Room A,"54*Religion-Based Peace Practice and the Formation of Global Citizenship in the 
Digital Age: A Case Study of KSGI's 'Value Creation' Approach in Online Archives

Lee, Suhyun IRCC, Kyung Hee University",8,54,Religion-Based Peace Practice and the Formation of Global Citizenship ,Religion-Based Peace Practice and the Formation of Global Citizenship in the Digital Age: A Case Study of KSGI's 'Value Creation' Approach in Online Archives,54*Religion-Based Peace Practice and the Formation of Global Citizenship ,"54*Religion-Based Peace Practice and the Formation of Global Citizenship in the Digital Age: A Case Study of KSGI's 'Value Creation' Approach in Online Archives
",,"54*Religion-Based Peace Practice and the Formation of Global Citizenship in the Digital Age: A Case Study of KSGI's 'Value Creation' Approach in Online Archives
in the 
Digital Age: A Case Study of KSGI's 'Value Creation' Approach in Online Archives

Lee, Suhyun IRCC, Kyung Hee University",,"54*Religion-Based Peace Practice and the Formation of Global Citizenship in the Digital Age: 
A Case Study of KSGI's 'Value Creation' Approach in Online Archives
Lee, Suhyun IRCC, Kyung Hee University"
DAY 1,2026-07-01,13:30-15:00,Room A,"87*Religion as a Buffer against Social Atomization: Soka Gakkai and the Ethics of 
Rebuilding Social Relations

Yeo, Youngyun Korea University",9,87,Religion as a Buffer against Social Atomization,Religion as a Buffer against Social Atomization: Soka Gakkai and the Ethics of Rebuilding Social Relations,87*Religion as a Buffer against Social Atomization,"87*Religion as a Buffer against Social Atomization: Soka Gakkai and the Ethics of Rebuilding Social Relations
",,"87*Religion as a Buffer against Social Atomization: Soka Gakkai and the Ethics of Rebuilding Social Relations
: Soka Gakkai and the Ethics of 
Rebuilding Social Relations

Yeo, Youngyun Korea University",,"87*Religion as a Buffer against Social Atomization: Soka Gakkai and the Ethics of 
Rebuilding Social Relations
Yeo, Youngyun Korea University"
DAY 1,2026-07-01,13:30-15:00,Room A,"73*Living the ""Buddhist"" Dharma and the Question of the Animal in the Age of the Anthropocene

Fisker-Nielsen, Anne Mette Soka University",10,73,"Living the ""Buddhist"" Dharma and the Question of the Animal in the Age ","Living the ""Buddhist"" Dharma and the Question of the Animal in the Age of the Anthropocene","73*Living the ""Buddhist"" Dharma and the Question of the Animal in the Age ","73*Living the ""Buddhist"" Dharma and the Question of the Animal in the Age of the Anthropocene
",,"73*Living the ""Buddhist"" Dharma and the Question of the Animal in the Age of the Anthropocene
of the Anthropocene

Fisker-Nielsen, Anne Mette Soka University",,"73*Living the ""Buddhist"" Dharma and the Question of the Animal in the Age of the Anthropocene
Fisker-Nielsen, Anne Mette Soka University"
