Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45
,,Day 1,,,,,,Day 2,,,,,,Day 3,,,,,Day  4,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2026-07-01 00:00:00,,,,,,2026-07-02 00:00:00,,,,,,2026-07-03 00:00:00,,,,,2026-07-04 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ROOM A,ROOM B,ROOM C,ROOM D,,,ROOM A,ROOM B,ROOM C,ROOM D,,,ROOM A,ROOM B,ROOM C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,09:30-09:35,"Opening Ceremony

Venerable Ru Chang 
Director, Fo Guang Shan Buddha Museum",,,,,09:15-10:45,"Spirituality, Science, and Animal 
in the Digitalized Worlds","Migration, Politics and Religion II",Religion and Social Theory II,Religions in Southeast Asia II,,09:15-10:45,"Religion, Gender and Sexuality","Religion, Market and Economics","Religious Resilience and Innovation 
in the Digital Age II",,09:15-12:00,"TOUR 
(Morning)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"101*Quantum Consciousness Theory and 
Its Implications for the Sociology of Spirituality/Religion
Song, Francis Jae-Ryong
Kyung Hee University
Kim, Hyun Woo
Chungbuk National University","55*The Exodus of the Grey and the Black
Gao, Mingui
Purdue University","62*The Ontological Status of 
the Sacred in the Age of AI
Linh, Trinh Ngoc
Vietnam National University","109*An Overview of Cross-Ethnic 
Religious Practices in Contemporary Indonesian Buddhism
Chiu, Tzu-Lung
Nashua University",,,"57*Too Religious For Our Group
Yen, Tzu-Chien
Academia Sinica","45*Lucky Charms as Mobile Materiality
Hosono, Kazuto
University Of Tokyo","15*Formation of a ""Mobile Church"" 
through Hybridization
Sato, Chitose
Hokkai School Of Commerce, Sapporo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,09:35-10:35,"Presidential Address

David A. Palmer 
President, EASSSR",,,,,,"91*Imposing Spirituality on Non-Human Companions in the Hyper-Connected Community
Yoo, Kwang Suk
IRCC, Kyung Hee University
Suh, Dong-Uhn
Kyung Hee University","10*The Contraction of Religion's 
Interstitial Social Space in China
Rogers, Megan
Duke Kunshan University
Tian, Zhenyu
Duke Kunshan University
Lou, Haozhe
Duke Kunshan University","64*Abiding Nowhere
Liu, Yining
Dharma Drum Institute Of Liberal Arts","70*Beyond Sinicization
Lin, Yu-Sheng
Academia Sinica",,,"98*Middle Women Rising 
(zhongnü jueqi)
Chen, Jialin
The University of Hong Kong
Wang, Yang
The University of Hong Kong","26*Biblically Responsible Investing 
as Religious Economic Practice
Kitani, Kanan
Doshisha University","19*Redesigning the Sacred
Wang, Linan
Fudan University",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"81*A Study on the Perceptions and Current Status of Companion Animals in Korean Protestantism
Kim, Andrew Eungi
Korea University
Kim, Jongman
Kyung Hee University","2*Transnational Religious Networks 
of  Mongolia and the Mongolian 
Diaspora in the United States
Takizawa, Katsuhiko
Osaka University Of Economics","125*Rhizomatic Religion and 
Cosmovisiones
Oostveen, Daan F.
University Of Humanistic Studies","71*Chris Maria
Xu, Mingqian
Academia Sinica",,,"8*A Study on the Experience 
of LGBTQ+ Members of 
Soka Gakkai Japan
Colletti, Margot
Waseda University","28*From Monopoly to Competition
Lin, Weizhi
Guangdong Ocean University","33*Digital Footprints and 
Spiritual Navigation
Liu, Chih-Lin
National Cheng Kung University (Republic Of China)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"58*Posthuman Care Practices among People with Type 1 Diabetes Using DIY Artificial Pancreas Systems
Cha, Min Kyung
Kyung Hee University
Jang, Woosung
Kyung Hee University","122*Institutional Identity Structure and 
Its Construction Logic of Contemporary Chinese Buddhist Monastics
Weng, Kangjian
Shantou University","76*Unify by Mission
Tsai, En-Ya
University Of Notre Dame","88*Beyond Guan Yin's Shadow
Sam, Li Ying
Independent Researcher",,,"128*Healthy Families, Holy Nation
Ha, Hyun Jeong
Duke Kunshan University","13*Devotion, Discipline, and Capital
Tovankasame, Nicha
Prince Of Songkla University, Phuket Campus","39*Digital Appeals, Women's 
Engagement and House 
Church–State Conflict in L City
Liang, Xinuo
SOAS, University Of London",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10:35-10:45,BREAK,,,,,10:45-11:00,BREAK,,,,,10:45-11:00,BREAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ROOM A,ROOM B,ROOM C,ROOM D,,,ROOM A,ROOM B,ROOM C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10:45-12:00,"Keynote Speech

Architects of Buddhist Leisure: Monuments, Museums, and 
Amusement Parks in the Practice of Modern Buddhism

McDaniel, Justin
Department of Religious Studies, University of Pennsylvania",,,,,11:00-12:10,"Religion, Social Conflict and War","Ritual, Festival and Religion I",Religion and Social Theory III,"Migration, Politics and Religion III",,11:00-12:10,Religion in Comparative Scope,Religions in Southeast Asia III,"Ritual, Festival and Religion II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"5*Two Impeachments and the 
Development of Protestant 
Fundamentalism in Korea
Jang, Hyung Chull
Induk University","127*Buddha's Birthday Celebrations 
and the Social Impact of Buddhist 
Organizations in Hong Kong
Wang, Bing
Hong Kong Chu Hai College","12*Latent and Syncretic Patterns 
of Religiosity In Contemporary 
Urban China
Yang, Xiaozhao
Sun Yat-Sen University","14*Religious Nationalism
Chaopreecha, Jakraphan
Prince Of Songkla University, Phuket",,,"93*Religious Freedom Across 
Regimes in Asia
Brasnett, Jonathan
University Of Ottawa","119*Artificial Intelligence in 
Taiwanese Folk Religion
Lin, Ching-Chih
National Chengchi University","124*Emotional Resilience of Filial Piety 
in the East Asian Society
Zhang, Wenxu
The Chinese University Of Hong Kong",,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0
,,,,,,,,"77*Why Did the Monks Take Part 
in the Imjin War
Kim, Sung-Eun Thomas
Dongguk University","3*The Localization of Humanistic 
Buddhism in Latin America
Chi, Wei-Hsian
Academia Sinica","106*The Sacred and the Social
Younas, Albert
University Of Zurich","24*Building Bridges
Wangka, Yusmiati Vistamika
Independent Researcher",,,"121*Reflections on Translation and Comparative Method
Hedges, Paul
RSiS, Nanyang Technological University","7*Technologies of Capture
Tischer, Jacob
Charles University Prague","42*The Belief of Emperor Fuyou 
孚佑帝君 in Taiwan's Morality Books 
Before and After World War II
Chen, Weng-Ching
National Chengchi University",,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0
,,,,,,,,"85*The Unexamined Unification 
Church in Japan
Sakurai, Yoshihide
Hokkaido University","32*When Buddha Meets the Gods
Venerable Miaogon 妙功法師
Fo Guang Shan Buddha Musem 
Academic Development Committee 
(佛光山佛陀紀念館學術發展委員會)","111*From Charismatic Technology 
to Generative Charisma
Lim, Francis Khek Gee
Nanyang Technological University","6*Transnational Networks of Overseas Vietnamese Buddhist Temples
Kiyofuji, Ryushun
University Of Kitakyushu",,,"46*Religion as a Contentious Space 
of Authoritarian Influence
Wang, Ray
National Chengchi University","41*Buddhism's Recent Decline 
in East Asia
Tong, Yunping
Pew Research Center
Fahmy, Dalia
Pew Research Center","35*Ritual Ontology under 
Algorithmic Mediation
Wu, Kijin James
Tainan Theological College And Seminary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0
,12:00-13:10,LUNCH,,,,,12:10-13:10,LUNCH,,,,,12:10-13:10,LUNCH,,,,12:00-13:30,"Experiencing the Formal Meal 
Offering in the Monastery",,,,,,,,,,,,,,,,,,,,,,,,,,
,,ROOM A,ROOM B,ROOM C,ROOM D,,,ROOM A,ROOM B,ROOM C,ROOM D,,,ROOM A,ROOM B,ROOM C,,,ROOM A,,,,,,,,,,,,,,,,,,,,,,,,,,
,13:10-14:40,"Digitalized Environmental and 
Peace Movements of SGI",Religion and Arts,Religion and Social Welfare,"Religious Resilience and Innovation 
in the Digital Age I",,13:10-14:40,"Dao, Crisis, and Adaptation","Civil Religion and Religious 
Social Engagement",Religion in Quantitative Focus,"Religious Identity in the 
Digital Age",,13:10-14:40,Digital Faith Communities,Religion in Social Media,Religious Liberty Issues in East Asia,,13:30-16:30,"TOUR 
(Afternoon)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"82*The Future We Make
Jeong, Jiyun
Sookmyung Women's University","99*A Study on the Symbolic 
Representation and Doctrinal Innovation 
of the Wood-Carved Hubaul Taenghwa 
at Hanmaum Seonwon
Bae, Jiyoung
Dongguk University WISE","65*At The Intersection of Religious 
Salvation and Public Welfare 
Aoki, Shigeru
Institute Of Science Tokyo","37*A Study of Master Hsing Yun's 
Humanistic Buddhism in the 
Digital Age
Shi, Miaolin 
Fo Guang Shan Buddha Memorial Center",,,"56*Politicized Dao
Broy, Nikolas
Rikkyo University","96*Exploring Faith-Based Active 
Citizenship
Chan, Shun Hing
Hong Kong Baptist University","63*Religious Practice and 
Negative Life Attitudes
Fan, Gang-Hua
Soochow University","36*The Relationship of Youth with Hui Ethnicity and Islam in Modern Chinese City
Gao, Tianlin
Hokkaido University",,,"59*Tenrikyo Missionary Work and 
the Digital Society
Horiuchi, Midori
Tenri University","48*Bandwagon Pilgrimage
Lyu, Zhongwang
Hong Kong Shue Yan University","31*Religious Freedom and Institutional 
Path Dependency
Wu, Chih-Chung
Independent Scholar, Taipei, Taiwan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
