Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,Day 1,,,Day 2,,,Day 3,,,Day 4
,,2026-07-01 00:00:00,,,2026-07-02 00:00:00,,,2026-07-03 00:00:00,,,2026-07-04 00:00:00
,09:30-09:35,Opening Ceremony,,09:15-10:45,Sessions 3,,09:15-10:45,Sessions 7,,09:15-12:00,TOUR (Morning)
,09:35-10:35,Presidential Address,,10:45-11:00,BREAK,,10:45-11:00,BREAK,,12:00-13:30,"Experiencing the Formal Meal 
Offering in the Monastery"
,10:35-10:45,BREAK,,11:00-12:10,Sessions 4,,11:00-12:10,Sessions 8,,13:30-16:30,TOUR (Afternoon)
,10:45-12:00,Keynote Speech,,12:10-13:10,LUNCH,,12:10-13:10,LUNCH,,16:30-16:45,DEPARTURE
,12:00-13:10,LUNCH,,13:10-14:40,Sessions 5,,13:10-14:40,Sessions 9,,,
,13:10-14:40,Sessions 1,,14:40-15:00,BREAK,,14:40-15:00,BREAK,,,
,14:40-15:00,BREAK,,15:00-16:10,Sessions 6,,15:00-16:10,Plenary Meeting,,,
,15:00-16:10,Sessions 2,,16:10-16:15,BREAK,,16:10-16:15,BREAK,,,
,16:10-16:15,BREAK,,16:15-17:15,TOUR,,16:15-18:00,TOUR,,,
,16:15-16:35,Video Appreciation,,,,,18:15-20:30,Farewell Diner,,,
,16:35-17:15,佛光山簡介,,,,,,,,,
